German,English
sterben,to die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,meeting
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,Mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,"ensure, to care"
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,pretty much
solltest,ward
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,located
suchen,search
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hearing
verstehen,to understand
spielen,play
s.,S.
überhaupt,at all
teufel,Devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,Darling
endlich,at last
he,head
nimm,take
etwa,about
erzählt,told
läuft,running
schwer,heavy
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,definitely
hoch,high
alter,old
sagst,tell
schau,show
ah,Ah
land,country
zimmer,room
wagen,car
vier,four
gefallen,please
spaß,fun
niemals,No way
schuld,blame
getötet,killed
wollten,wanted to
verlassen,leaving
zeigen,show
beste,best
ernst,serious
unserer,our
denen,to them
ort,location
bleibt,remains
würdest,thought
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,between
eben,even
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,friend
krieg,war
gefällt,like
kleinen,small
erzählen,tell
anderes,other
tage,day
entschuldigen,apologize
wichtig,important
gehst,go
allen,all
bett,bed
mrs.,MRS.
sachen,things
the,the
schlecht,bad
schule,school
entschuldigung,Excuse me
wort,word
john,John
hättest,had
wären,be
typ,Type
schlafen,sleep
äh,Ah
tu,tu
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,human
kleiner,smaller
stellen,put
oft,often
sorge,worries
gedacht,thought
tust,tu
trinken,drink
einige,some
dies,this
ding,thing
unseren,Our
kriegen,Obtain
blut,blood
ehrlich,honest
eltern,parents
scheint,seems
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunion
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,fixed
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sound
platz,place
brauchst,need
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,except
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,may
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would be
bring,bring
fehler,error
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,lesson
hände,hands
gegeben,given
menge,crowd
langsam,slow
bereits,already
wartet,wait
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,giving
wochen,weekly
ruf,call
schaffen,create
leider,Unfortunately
scheiß,shit
hölle,hell
trotzdem,despite this
doktor,doctor
tja,well
new,New
voll,fully
film,Movie
überall,all over
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,after that
funktioniert,is working
hattest,had
lernen,to learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,remember
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,that is
groß,large
hol,hold
buch,a book
krank,ill
fühle,feel
jedes,each
verstehst,understand
wert,worth
arzt,doctor
froh,joyful
versuche,tries
straße,Street
rufen,call
heiraten,marry
super,great
sam,sam
lebt,lives
gutes,good
lasse,laser
onkel,uncle
total,total
gebracht,brought
party,party
erklären,to explain
spielt,play
wahl,choice
vertrauen,trust
damals,back then
tagen,days
leicht,easy
nachdem,after
gegangen,went
gefühl,feeling
kaufen,to buy
geschafft,made
typen,types
interessiert,Interested
möchten,would
halte,hold
hält,hold
glaub,belie
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
drüben,over there
passt,fits
sagten,told
kümmern,To take care of
laut,according to
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,Earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,prison
opfer,victim
körper,body
solche,such
mist,damn
mr,mr
findet,find
schreiben,to write
böse,evil
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,About what
sobald,as soon
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
heißen,mean
krankenhaus,hospital
bringe,bring
höre,hear
millionen,millions
klasse,class
hart,hard
worden,has been
sinn,sense
außerdem,Besides that
verletzt,injured
ändern,to change
erfahren,Experienced
tragen,carry
wenigstens,at least
vorsichtig,carefully
daddy,daddy
stolz,proudly
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,especially
schöne,lovely
schicken,send
person,person
schätze,treasures
solange,so long
länger,longer
großartig,Great
lacht,laugh
anrufen,call up
stand,was standing
redest,talk
fühlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,safety
setz,sitting
ma,ma
mund,mouth
kämpfen,battle
wisst,scoff
lachen,laugh
hörst,hear
zeug,things
lustig,fun
umbringen,kill
sollst,shorter
hasse,hate
schlimm,terrible
o,O
unglaublich,unbelievable
wärst,be
laden,load
führen,to lead
gestorben,died
schauen,look
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,shop
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,York
vorher,before
schluss,Enough
schneller,more quickly
liebt,loving
verdient,deserved
mögen,like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,recall
acht,eight
arbeitet,is working
fallen,fall
rufe,call
nötig,necessary
a,a
mord,murder
heraus,out
tages,day
unmöglich,impossible
liebling,Darling
charlie,Charlie
tatsächlich,indeed
folgen,Follow
bitten,request
behalten,to keep
nähe,vicinity
arbeite,work
joe,joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,go
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,bother
ha,Ha
hotel,hotel
hilft,help
werdet,become
meister,master
kampf,battle
antwort,reply
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,Strange
gewinnen,to win
ihres,Yours
bezahlt,paid
you,you
voller,full of
unterwegs,On the way
dumm,stupid
ärger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,on the other hand
seien,be
starb,died
tom,Tom
monaten,monthly
leiche,corpse
niemanden,no one
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,rules
fenster,window
fangen,catch
fort,forth
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,be
ziel,aim
benutzt,used
bewegung,Move
jemandem,someone
wünschte,wished
worte,words
kamen,came
welcher,which one
